,Match_id,Innings,Player_name,Batting_number,Over_start_number,Runs_Scored,Balls_faced,Dots,Ones,Twos,Thress,Fours,Sixs,FOW_score,FOW_over,FOW_batting_number,FOW_bowler,Wicket_method,Overs_bowled,Runs_conceded,Wickets_taken,Maiden_overs,Extras,co-batsmen wicket fallen
9069,247457,1,DR Smith,8,44.6,32,15,3,6,1,0,3,2,223,48.2,7,Umar Gul,caught,10,36,3,0,0,-1
9070,247457,1,JE Taylor,9,48.3,2,4,2,2,0,0,0,0,228,49.1,8,Iftikhar Anjum,run out,10,39,1,0,1,-1
9071,247457,1,DBL Powell,10,49.2,1,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,10,43,2,0,1,-11
9072,247457,1,CD Collymore,11,49.4,8,2,0,0,1,0,0,1,-1,-1,-1,-1,-1,8.2,27,1,0,1,-12
9073,247457,2,Imran Nazir,1,0.1,6,3,2,0,0,0,0,1,6,0.3,1,DBL Powell,caught,0,0,0,0,0,0
9074,247457,2,Younis Khan,3,0.4,9,13,10,1,0,0,2,0,17,3.6,2,JE Taylor,caught,0,0,0,0,0,-1
9075,247457,2,Mohammad Hafeez,2,0.1,11,26,23,3,0,0,2,0,39,10.3,3,DBL Powell,caught,9,40,2,0,1,1
9076,247457,2,Mohammad Yousuf,4,4.1,37,72,42,25,4,0,1,0,99,28.6,4,DR Smith,caught,0,0,0,0,0,0
9077,247457,2,Inzamam-ul-Haq,5,10.4,36,65,42,20,0,0,4,0,116,32.4,5,DR Smith,lbw,0,0,0,0,0,0
9078,247457,2,Shoaib Malik,6,29.1,62,54,15,32,0,0,6,1,187,47.2,10,CD Collymore,caught,4,24,0,0,0,4
9079,247457,2,Kamran Akmal,7,32.5,0,1,1,0,0,0,0,0,116,32.5,6,DR Smith,caught,0,0,0,0,0,-1
9080,247457,2,Naved-ul-Hasan,8,32.6,11,29,19,9,1,0,0,0,144,40.2,7,DJ Bravo,bowled,9,49,0,0,2,-1
9081,247457,2,Iftikhar Anjum,9,40.3,11,18,10,7,2,0,0,0,187,46.5,8,DJ Bravo,caught,10,45,3,0,1,-1
9082,247457,2,Umar Gul,10,46.6,0,1,1,0,0,0,0,0,187,46.6,9,DJ Bravo,caught and bowled,9,38,2,0,4,-1
9083,247457,2,Danish Kaneria,11,47.1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9,45,1,0,3,-12
9084,247458,1,AC Gilchrist,1,0.1,46,54,32,14,2,0,7,0,91,16.6,1,DR Brown,lbw,0,0,0,0,0,0
9085,247458,1,ML Hayden,2,0.1,60,72,45,21,2,0,6,1,139,26.5,2,RM Haq,lbw,0,0,0,0,0,0
9086,247458,1,RT Ponting,3,17.1,113,91,38,35,6,0,9,5,274,45.2,5,CM Wright,bowled,0,0,0,0,0,2
9087,247458,1,MJ Clarke,4,26.6,15,20,9,9,1,0,1,0,193,34.3,3,RM Haq,bowled,0,0,0,0,0,-1
9088,247458,1,BJ Hodge,5,34.4,29,28,10,13,2,0,3,0,256,43.1,4,GA Rogers,caught,6,17,1,0,0,-1
9089,247458,1,MEK Hussey,6,43.2,4,6,3,4,0,0,0,0,276,46.1,6,PJC Hoffmann,stumped,0,0,0,0,0,0
9090,247458,1,SR Watson,7,45.3,18,11,3,4,1,0,3,0,-1,-1,-1,-1,-1,7,18,0,0,1,-8
9091,247458,1,GB Hogg,8,46.2,40,15,3,4,3,0,3,3,-1,-1,-1,-1,-1,7.1,18,1,0,2,-9
9092,247458,1,NW Bracken,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6,12,0,0,0,0
9093,247458,1,SW Tait,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,8,52,2,0,12,0
9094,247458,1,GD McGrath,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6,14,3,0,1,0
9095,247458,2,DF Watts,1,0.1,9,25,18,7,1,0,0,0,32,9.3,3,GD McGrath,bowled,0,0,0,0,0,2
9096,247458,2,RM Haq,2,0.1,16,22,15,4,2,0,2,0,21,5.5,1,SW Tait,run out,7,50,2,0,1,-1
9097,247458,2,NS Poonia,3,5.6,1,3,3,1,0,0,0,0,27,7.5,2,SW Tait,bowled,0,0,0,0,0,-1
9098,247458,2,RR Watson,4,7.6,6,20,15,4,1,0,0,0,37,13.3,4,GD McGrath,caught,0,0,0,0,0,0
9099,247458,2,GM Hamilton,5,9.4,3,18,15,3,0,0,0,0,42,15.3,5,GD McGrath,caught,0,0,0,0,0,0
9100,247458,2,DR Brown,6,13.4,19,35,27,7,0,0,3,0,89,27.4,6,BJ Hodge,caught,9,87,1,0,3,0
9101,247458,2,CJO Smith,7,15.4,51,75,49,19,2,0,7,0,131,40.1,9,GB Hogg,bowled,0,0,0,0,0,2
9102,247458,2,CM Wright,8,27.5,4,20,17,4,0,0,0,0,104,32.5,7,SW Tait,lbw,10,58,1,0,0,-1
9103,247458,2,GA Rogers,9,32.6,6,18,14,6,0,0,0,0,131,39.6,8,NW Bracken,run out,10,52,1,0,0,-1
9104,247458,2,PJC Hoffmann,10,40.1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,10,58,1,0,3,-11
9105,247458,2,JAR Blain,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,4,29,0,0,2,0
9106,247460,1,WU Tharanga,1,0.1,30,45,33,9,2,1,2,1,78,11.7,2,KAD Hurdle,caught,0,0,0,0,0,1
9107,247460,1,ST Jayasuriya,2,0.1,22,19,18,5,1,1,3,0,62,8.3,1,S Mukuddem,caught,0,0,0,0,0,-1
9108,247460,1,DPMD Jayawardene,3,8.4,85,88,41,43,3,0,6,2,267,42.1,4,LOB Cann,caught,0,0,0,0,0,1
9109,247460,1,KC Sangakkara,4,12.1,76,80,43,24,11,2,6,0,228,37.3,3,RDM Leverock,caught,0,0,0,0,0,-1
9110,247460,1,LPC Silva,5,37.4,55,44,12,19,10,0,4,0,-1,-1,-1,-1,-1,0,0,0,0,0,-6
9111,247460,1,TM Dilshan,6,42.2,12,15,6,8,0,0,1,0,305,48.1,5,KAD Hurdle,caught,0,0,0,0,0,-1
9112,247460,1,MF Maharoof,7,48.2,9,5,2,1,0,0,2,0,316,49.3,6,S Mukuddem,caught,7,23,4,0,0,-1
9113,247460,1,RP Arnold,8,49.4,2,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-9
9114,247460,1,WPUJC Vaas,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6,11,1,0,0,0
9115,247460,1,SL Malinga,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,5,14,3,0,5,0
9116,247460,1,M Muralitharan,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6.4,30,2,0,4,0
9117,247460,2,CJ Smith,1,0.1,0,5,5,0,0,0,0,0,0,0.5,1,WPUJC Vaas,lbw,0,0,0,0,0,0
9118,247460,2,S Mukuddem,3,0.6,0,4,4,0,0,0,0,0,2,3.1,2,SL Malinga,caught,10,51,2,0,5,-1
9119,247460,2,OL Pitcher,2,0.1,6,28,26,2,0,0,1,0,25,11.2,5,MF Maharoof,bowled,0,0,0,0,0,3
9120,247460,2,DL Hemp,4,3.2,14,18,11,3,2,1,1,0,20,7.1,3,SL Malinga,caught,0,0,0,0,0,-1
9121,247460,2,IH Romaine,5,7.2,0,1,1,0,0,0,0,0,20,7.2,4,SL Malinga,lbw,3,29,0,0,1,-1
9122,247460,2,JJ Tucker,6,7.3,4,20,20,0,0,0,1,0,39,14.3,7,M Muralitharan,bowled,10,52,0,0,4,1
9123,247460,2,DA Minors,7,11.3,4,3,2,0,0,0,1,0,29,11.5,6,MF Maharoof,caught,0,0,0,0,0,-1
9124,247460,2,LOB Cann,8,11.6,28,31,20,6,2,0,3,1,77,23.2,9,MF Maharoof,caught,4,34,1,0,4,1
9125,247460,2,DCC Borden,9,14.4,6,25,24,2,0,0,1,0,64,21.5,8,MF Maharoof,caught,3,27,0,0,0,-1
9126,247460,2,KAD Hurdle,10,21.6,6,3,2,0,0,0,0,1,-1,-1,-1,-1,-1,9,61,2,0,16,-11
9127,247460,2,RDM Leverock,11,23.3,1,8,7,1,0,0,0,0,78,24.4,10,M Muralitharan,lbw,10,67,1,0,0,-1
9128,247461,1,WTS Porterfield,1,0.1,0,6,6,0,0,0,0,0,0,0.6,1,CB Mpofu,caught,0,0,0,0,0,0
9129,247461,1,JP Bray,2,0.1,115,136,75,43,6,1,10,2,-1,-1,-1,-1,-1,0,0,0,0,0,-3
9130,247461,1,EJG Morgan,3,1.1,21,27,23,1,2,0,4,0,43,9.6,2,GB Brent,caught,0,0,0,0,0,-1
9131,247461,1,NJ O'Brien,4,9.7,1,5,4,1,0,0,0,0,44,10.4,3,E Chigumbura,caught,0,0,0,0,0,-1
9132,247461,1,AC Botha,5,10.5,1,7,7,1,0,0,0,0,64,14.3,4,E Chigumbura,bowled,10,32,1,0,2,-1
9133,247461,1,KJ O'Brien,6,14.4,10,25,24,2,0,0,2,0,89,21.7,5,EC Rainsford,caught,2,9,1,0,1,-1
9134,247461,1,AR White,7,22.1,28,47,31,12,2,0,3,0,145,37.3,6,GB Brent,lbw,3,15,1,0,0,-1
9135,247461,1,DT Johnston,8,37.4,20,24,12,8,2,0,2,0,182,43.6,7,CB Mpofu,run out,10,32,1,0,0,-1
9136,247461,1,WK McCallan,9,44.1,0,3,3,0,0,0,0,0,182,44.3,8,SC Williams,stumped,8,56,2,0,0,-1
9137,247461,1,D Langford-Smith,10,44.4,15,17,9,3,4,0,1,0,221,49.6,9,CB Mpofu,caught,9,34,0,0,5,-1
9138,247461,1,WB Rankin,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,7,43,1,0,2,0
9139,247461,2,T Duffin,1,0.1,12,22,17,4,0,0,2,0,26,5.6,1,WB Rankin,caught,0,0,0,0,0,0
9140,247461,2,V Sibanda,2,0.1,67,83,54,20,4,1,9,0,128,28.1,4,AR White,hit wicket,0,0,0,0,0,2
9141,247461,2,CJ Chibhabha,3,6.1,12,35,31,2,3,0,1,0,92,20.5,2,DT Johnston,caught,0,0,0,0,0,-1
9142,247461,2,SC Williams,4,20.6,14,13,7,2,2,0,2,0,107,23.2,3,WK McCallan,caught,6,21,1,0,0,-1
9143,247461,2,S Matsikenyeri,5,23.3,73,75,45,14,7,1,9,1,-1,-1,-1,-1,-1,1,6,0,0,0,-6
9144,247461,2,E Chigumbura,6,28.2,4,9,7,0,2,0,0,0,133,29.6,5,WK McCallan,caught,6,22,2,0,3,-1
9145,247461,2,BRM Taylor,7,30.1,24,40,25,12,0,0,3,0,203,43.4,6,WK McCallan,run out,0,0,0,0,0,-1
9146,247461,2,GB Brent,8,43.5,3,12,9,3,0,0,0,0,212,47.3,7,AC Botha,lbw,10,41,2,0,3,-1
9147,247461,2,P Utseya,9,47.4,1,3,2,1,0,0,0,0,213,48.1,8,KJ O'Brien,caught,10,29,0,0,0,-1
9148,247461,2,CB Mpofu,10,48.2,0,5,5,0,0,0,0,0,213,48.6,9,KJ O'Brien,run out,10,58,2,0,2,-1
9149,247461,2,EC Rainsford,11,49.1,1,1,0,1,0,0,0,0,221,49.6,10,AR White,run out,7,44,1,0,2,-1
9150,247462,1,AB de Villiers,1,0.1,0,2,2,0,0,0,0,0,0,0.2,1,WF Stelling,caught,0,0,0,0,0,0
9151,247462,1,JH Kallis,3,0.3,128,106,49,43,4,1,11,5,-1,-1,-1,-1,-1,4,19,0,0,2,-4
9152,247462,1,GC Smith,2,0.1,67,59,27,18,5,1,6,2,114,18.6,2,PW Borren,caught,8,32,1,0,0,0
9153,247462,1,HH Gibbs,4,19.1,72,40,16,12,1,0,4,7,219,30.5,3,LP van Troost,caught,0,0,0,0,0,-1
9154,247462,1,MV Boucher,5,30.6,75,31,3,15,0,0,9,4,-1,-1,-1,-1,-1,0,0,0,0,0,-6
9155,247462,1,SM Pollock,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6,6,1,0,3,0
9156,247462,1,A Nel,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6,19,0,0,0,0
9157,247462,1,CK Langeveldt,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6,22,1,0,0,0
9158,247462,1,AJ Hall,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,6,16,1,0,1,0
9159,247462,1,JM Kemp,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,4,18,2,0,1,0
9160,247462,2,B Zuiderent,1,0.1,1,10,10,1,0,0,0,0,6,4.1,2,SM Pollock,bowled,0,0,0,0,0,1
9161,247462,2,DJ Reekers,2,0.1,4,6,5,0,0,0,1,0,5,2.2,1,SM Pollock,run out,5,35,0,0,1,-1
9162,247462,2,AN Kervezee,3,2.3,17,51,43,6,0,1,2,0,33,14.2,3,CK Langeveldt,caught,0,0,0,0,0,0
9163,247462,2,RN ten Doeschate,4,4.2,57,70,46,19,0,0,8,1,114,35.1,6,JM Kemp,run out,7,58,0,0,1,2
9164,247462,2,DLS van Bunge,5,14.3,5,16,14,1,0,0,1,0,47,19.2,4,AJ Hall,lbw,4,56,0,0,0,-1
9165,247462,2,ES Szwarczynski,6,19.3,12,31,25,4,0,0,2,0,72,26.5,5,GC Smith,lbw,0,0,0,0,0,-1
9166,247462,2,TBM de Leede,7,26.6,21,36,23,9,2,0,2,0,124,37.3,7,JM Kemp,bowled,4,48,0,0,1,0
9167,247462,2,PW Borren,8,35.2,2,6,4,2,0,0,0,0,131,38.6,8,GC Smith,run out,8,52,1,0,0,0
9168,247462,2,LP van Troost,9,37.4,5,6,5,1,0,0,1,0,132,39.6,9,JM Kemp,caught,4,60,1,0,6,0
9169,247462,2,WF Stelling,10,39.1,1,4,3,1,0,0,0,0,-1,-1,-1,-1,-1,8,44,1,0,2,-11
9170,247463,1,EC Joyce,1,0.1,0,1,2,0,0,0,0,0,1,0.2,1,JEC Franklin,caught,0,0,0,0,0,0
9171,247463,1,IR Bell,3,0.3,5,17,18,2,0,1,0,0,30,8.5,2,JDP Oram,caught,0,0,0,0,0,-1
9172,247463,1,MP Vaughan,2,0.1,26,51,39,8,3,0,3,0,52,15.3,3,JEC Franklin,bowled,0,0,0,0,0,1
9173,247463,1,KP Pietersen,4,8.6,60,91,56,27,4,1,4,1,133,35.3,5,SE Bond,caught,1,2,0,0,0,1
9174,247463,1,PD Collingwood,5,15.4,31,52,31,19,2,0,2,0,133,34.6,4,SB Styris,caught,3,20,0,0,0,-1
9175,247463,1,JWM Dalrymple,7,35.4,3,12,9,3,0,0,0,0,138,38.2,7,SB Styris,caught,4,29,0,0,1,0
9176,247463,1,A Flintoff,6,35.1,0,1,1,0,0,0,0,0,134,35.6,6,SE Bond,caught,8,23,0,0,8,0
9177,247463,1,PA Nixon,8,36.1,42,39,16,18,2,0,5,0,-1,-1,-1,-1,-1,0,0,0,0,0,-9
9178,247463,1,LE Plunkett,9,38.3,29,34,15,15,2,0,1,1,-1,-1,-1,-1,-1,7,44,1,0,3,-10
9179,247463,1,JM Anderson,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,8,41,2,0,3,0
9180,247463,1,MS Panesar,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,10,51,1,0,11,0
9181,247463,2,L Vincent,1,0.1,0,6,7,0,0,0,0,0,1,0.7,1,JM Anderson,caught,0,0,0,0,0,0
9182,247463,2,SP Fleming,2,0.1,7,10,8,3,0,0,1,0,19,4.6,3,JM Anderson,caught,0,0,0,0,0,1
9183,247463,2,LRPL Taylor,3,1.1,0,1,1,0,0,0,0,0,3,1.3,2,LE Plunkett,caught,0,0,0,0,0,-1
9184,247463,2,SB Styris,4,1.4,87,108,62,37,4,2,9,0,-1,-1,-1,-1,-1,7,25,2,0,2,-5
9185,247463,2,CD McMillan,5,5.1,27,33,21,5,5,0,3,0,72,15.2,4,MS Panesar,caught,0,0,0,0,0,-1
9186,247463,2,JDP Oram,6,15.3,63,81,49,28,4,0,4,1,-1,-1,-1,-1,-1,6,25,1,0,0,-7
9187,247463,2,JEC Franklin,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9,44,2,0,6,0
9188,247463,2,SE Bond,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,10,19,2,0,2,0
9189,247463,2,JS Patel,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,8,42,0,0,1,0
